Student_ID,Name,Domicile,Region,Gender,Age,Admission_Status
1001,Omar Kumar,Australia,New South Wales,Female,29,Unconditional
1002,Ahmed Davis,UK,Edinburgh,Female,29,Conditional
1003,Adeola Smith,China,Shanghai,Male,26,Unconditional
1004,Priya Davis,United States,California,Male,33,Unconditional
1005,James Osei,India,Maharashtra,Male,36,Unconditional
1006,Tunde Smith,India,Delhi,Female,32,Conditional
1007,Chinonso Adams,UK,Edinburgh,Female,41,Conditional
1008,Fatoumata Johnson,India,Tamil Nadu,Female,44,Unconditional
1009,Tunde Uzoegwu,Japan,Osaka,Male,35,Conditional
1010,Ahmed Silva,Germany,Bavaria,Female,40,Conditional
1011,Jane Okwuosa,Canada,Ontario,Male,26,Conditional
1012,Chinonso Jones,UK,Yorkshire,Male,39,Conditional
1013,Fatoumata Okwuosa,Canada,Ontario,Male,35,Conditional
1014,David Davis,Australia,New South Wales,Female,25,Conditional
1015,Paschal Johnson,India,Delhi,Male,27,Unconditional
1016,Tunde Smith,United States,New York,Male,43,Unconditional
1017,Michael Nwosu,Germany,Berlin,Female,33,Unconditional
1018,Sofia Okwuosa,Brazil,Rio de Janeiro,Female,22,Unconditional
1019,Kwame Uzoegwu,Nigeria,Abuja,Female,34,Unconditional
1020,Maria Johnson,China,Shanghai,Female,25,Conditional
1021,Fatoumata Adetokunbo,United States,New York,Male,25,Unconditional
1022,Fatoumata Nguyen,United States,New York,Male,31,Conditional
1023,Sofia Garcia,China,Beijing,Female,39,Unconditional
1024,Liu Adams,Canada,Ontario,Female,31,Conditional
1025,Chinonso Okafor,Brazil,Rio de Janeiro,Female,34,Conditional
1026,Jane Cheng,Germany,Bavaria,Male,40,Conditional
1027,Ifeoma Okwuosa,Japan,Osaka,Male,42,Unconditional
1028,Jane Cheng,China,Beijing,Female,44,Unconditional
1029,Chinonso Rodriguez,Nigeria,Lagos,Female,42,Conditional
1030,Jane Kumar,United States,New York,Female,32,Unconditional
1031,Laila Brown,Japan,Osaka,Female,26,Conditional
1032,Ifeoma Santos,China,Beijing,Male,38,Unconditional
1033,Sarah Johnson,Germany,Berlin,Female,40,Unconditional
1034,Fatoumata Davis,India,Delhi,Female,23,Conditional
1035,Ahmed Martinez,United States,New York,Female,25,Unconditional
1036,Paschal Williams,Brazil,São Paulo,Female,34,Conditional
1037,Chris Chen,Canada,Quebec,Female,42,Unconditional
1038,Ifeoma Williams,Canada,Ontario,Male,22,Conditional
1039,Fatima Santos,India,Maharashtra,Male,29,Unconditional
1040,Fatima Okwuosa,Canada,Ontario,Female,28,Conditional
1041,Paschal Nwosu,United States,California,Female,38,Conditional
1042,Michael Brown,Japan,Osaka,Female,23,Conditional
1043,Ifeoma Adams,India,Tamil Nadu,Male,40,Conditional
1044,Fatima Osei,Germany,Berlin,Female,28,Unconditional
1045,Ahmed Uzoegwu,Canada,Ontario,Male,34,Unconditional
1046,Paschal Williams,Japan,Osaka,Female,24,Conditional
1047,Ali Garcia,UK,Edinburgh,Male,22,Unconditional
1048,Michael Adams,Canada,Ontario,Male,29,Conditional
1049,Fatima Patel,Japan,Tokyo,Female,27,Conditional
1050,Omar Cheng,UK,Yorkshire,Female,28,Conditional
1051,Maria Chukwu,Japan,Tokyo,Female,24,Conditional
1052,Fatoumata Ali,Brazil,Rio de Janeiro,Female,37,Unconditional
1053,Emeka Patel,Germany,Berlin,Male,40,Conditional
1054,Amina Smith,China,Beijing,Female,26,Conditional
1055,Michael Cheng,UK,London,Male,30,Conditional
1056,Ali Ali,Japan,Tokyo,Male,35,Unconditional
1057,David Kumar,Australia,Victoria,Female,29,Unconditional
1058,Chinonso Okwuosa,China,Shanghai,Female,29,Conditional
1059,Priya Okafor,Germany,Bavaria,Male,37,Unconditional
1060,Fatima Okwuosa,Australia,Victoria,Male,36,Conditional
1061,Chinonso Johnson,Nigeria,Abuja,Male,24,Unconditional
1062,Ngozi Cheng,China,Shanghai,Female,23,Conditional
1063,Liu Nwosu,Australia,Victoria,Male,37,Conditional
1064,Laila Martinez,Brazil,São Paulo,Female,35,Conditional
1065,Emeka Brown,UK,Edinburgh,Male,26,Unconditional
1066,Jessica Cheng,Nigeria,Abuja,Male,40,Conditional
1067,Ali Osei,Japan,Tokyo,Female,30,Conditional
1068,Amina Martinez,United States,New York,Female,31,Unconditional
1069,Chen Chukwu,Australia,New South Wales,Female,40,Conditional
1070,John Adetokunbo,Japan,Osaka,Female,33,Conditional
1071,Fatoumata Adetokunbo,Australia,New South Wales,Male,30,Unconditional
1072,Amina Silva,United States,New York,Female,23,Conditional
1073,Sofia Rodriguez,UK,London,Male,23,Conditional
1074,John Patel,Germany,Bavaria,Female,26,Conditional
1075,Jane Garcia,China,Beijing,Female,30,Unconditional
1076,Ali Nwosu,Germany,Berlin,Male,38,Unconditional
